ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
2;Prova Regular;MT;2;3;5;117310;2N2.2;D
2;Prova Regular;MT;2;3;6;117212;2N1.3;D
2;Prova Regular;MT;2;3;7;117213;2M1.7;B
2;Prova Regular;MT;2;3;8;115981;2N1.1;C
2;Prova Regular;MT;2;3;9;114076;2A1.3;A
2;Prova Regular;MT;2;4;1;117198;2G1.3;A
2;Prova Regular;MT;2;4;2;117131;2N1.3;A
2;Prova Regular;MT;2;4;3;117194;2E1.3;C
2;Prova Regular;MT;2;4;4;117155;2N2.1;A
2;Prova Regular;MT;2;4;5;117162;2A1.4;C
2;Prova Regular;MT;2;4;6;117110;2M2.1;B
2;Prova Regular;MT;2;4;7;117165;2G1.2;D
2;Prova Regular;MT;2;4;8;117222;2N1.6;B
2;Prova Regular;MT;2;4;9;117154;2M1.7;B
2;Prova Regular;MT;2;5;1;117196;2G1.2;A
2;Prova Regular;MT;2;5;2;117193;2N2.1;B
2;Prova Regular;MT;2;5;3;117166;2M1.1;B
2;Prova Regular;MT;2;5;4;117156;2N1.7;C
2;Prova Regular;MT;2;5;5;117253;2M2.1;D
2;Prova Regular;MT;2;5;6;114843;2M2.2;C
2;Prova Regular;MT;2;5;7;114074;2A1.2;D
2;Prova Regular;MT;2;5;8;117106;2N1.3;B
2;Prova Regular;MT;2;5;9;116168;2E1.1;A
2;Prova Regular;MT;2;6;1;117220;2G1.2;D
2;Prova Regular;MT;2;6;2;117221;2M1.4;A
2;Prova Regular;MT;2;6;3;117201;2M1.7;B
2;Prova Regular;MT;2;6;4;117257;2E1.3;C
2;Prova Regular;MT;2;6;5;117214;2A1.4;B
2;Prova Regular;MT;2;6;6;117219;2N1.7;C
2;Prova Regular;MT;2;6;7;115625;2M2.2;A
2;Prova Regular;MT;2;6;8;117255;2N1.3;A
2;Prova Regular;MT;2;6;9;117197;2N2.2;B
2;Prova Regular;MT;2;7;1;117217;2E1.3;C
